test_id,metric,component,before_bytes,after_bytes,delta_bytes,input_bytes,multiplier,unit,notes
E1-04,persistent_storage,paperless-postgres,71489753,71760089,270336,15128,17.869910,bytes,"DOC-01; pomiar du -sb przed i po zakończeniu taska"
E1-04,persistent_storage,paperless-data,57577,78653,21076,15128,1.393178,bytes,"DOC-01; pomiar du -sb przed i po zakończeniu taska"
E1-04,persistent_storage,paperless-media,0,21196,21196,15128,1.401111,bytes,"DOC-01; oryginał i pochodne; archive_file_name=null"
E1-04,persistent_storage,paperless-valkey,2035,2035,0,15128,0.000000,bytes,"DOC-01; brak widocznej zmiany po zakończeniu taska"
E1-04,persistent_storage,total_measured_volumes,71549365,71861973,312608,15128,20.664199,bytes,"DOC-01; wartość orientacyjna, obejmuje narzut baz i nieatomowy pomiar czterech wolumenów"
E1-05,ocr_duration,paperless-webserver,,,6.808236,3506235,,seconds,"DOC-02; jedna strona A4, obraz bez warstwy tekstowej"
E1-05,ocr_wait,paperless-webserver,,,0.005347,3506235,,seconds,"DOC-02; czas oczekiwania raportowany przez task API v10"
E1-05,cpu_peak,paperless-webserver,,,100.92,3506235,,percent,"DOC-02; maksimum z 3 próbek docker stats, wartość orientacyjna"
E1-05,ram_idle,paperless-webserver,,,676.20,3506235,,MiB,"bezpośrednio przed uploadem DOC-02"
E1-05,ram_peak,paperless-webserver,,,749.40,3506235,,MiB,"DOC-02; maksimum z 3 próbek, przyrost względem idle 73.20 MiB"
E1-05,persistent_storage,paperless-postgres,71907545,71907545,0,3506235,0.000000,bytes,"DOC-02; pomiar du -sb przed i po tasku"
E1-05,persistent_storage,paperless-data,87275,100056,12781,3506235,0.003645,bytes,"DOC-02; pomiar du -sb przed i po tasku"
E1-05,persistent_storage,paperless-media,21196,3593362,3572166,3506235,1.018804,bytes,"DOC-02; oryginał i pochodne"
E1-05,persistent_storage,paperless-valkey,3203,3203,0,3506235,0.000000,bytes,"DOC-02; brak widocznej zmiany po ukończeniu tasku"
E1-05,persistent_storage,total_measured_volumes,72019219,75604166,3584947,3506235,1.022449,bytes,"DOC-02; wartość orientacyjna, obejmuje cztery wolumeny i nieatomowy pomiar"
E1-09a,ocr_duration,paperless-webserver,,,3.157256,1040729,,seconds,"DOC-03; mobilny PNG 768x1024 po usunięciu EXIF"
E1-09a,ocr_wait,paperless-webserver,,,0.063818,1040729,,seconds,"DOC-03; czas oczekiwania raportowany przez task API v10"
E1-09a,persistent_storage,paperless-postgres,71907545,71907545,0,1040729,0.000000,bytes,"DOC-03; pomiar du -sb przed i po tasku"
E1-09a,persistent_storage,paperless-data,112473,124871,12398,1040729,0.011913,bytes,"DOC-03; pomiar du -sb przed i po tasku"
E1-09a,persistent_storage,paperless-media,3593362,4742471,1149109,1040729,1.104139,bytes,"DOC-03; oryginał, archive PDF i miniatura"
E1-09a,persistent_storage,paperless-valkey,4727,4727,0,1040729,0.000000,bytes,"DOC-03; brak widocznej zmiany po ukończeniu tasku"
E1-09a,persistent_storage,total_measured_volumes,75618107,76779614,1161507,1040729,1.116051,bytes,"DOC-03; wartość orientacyjna, obejmuje cztery wolumeny i nieatomowy pomiar"
E1-09b,conversion_duration,paperless-webserver,,,1.424921,8540,,seconds,"DOC-04; task DOCX przez Tika/Gotenberg"
E1-09b,conversion_wait,paperless-webserver,,,0.056812,8540,,seconds,"DOC-04; czas oczekiwania raportowany przez task API v10"
E1-09b,persistent_storage,paperless-postgres,71940313,71973081,32768,8540,3.837002,bytes,"DOC-04; pomiar du -sb przed i po tasku"
E1-09b,persistent_storage,paperless-data,161837,173280,11443,8540,1.339930,bytes,"DOC-04; pomiar du -sb przed i po tasku"
E1-09b,persistent_storage,paperless-media,4742471,4795173,52702,8540,6.171194,bytes,"DOC-04; oryginalny DOCX, archive PDF i miniatura"
E1-09b,persistent_storage,paperless-valkey,2920,2920,0,8540,0.000000,bytes,"DOC-04; brak widocznej zmiany po ukończeniu tasku"
E1-09b,persistent_storage,total_measured_volumes,76847541,76944454,96913,8540,11.348126,bytes,"DOC-04; wartość orientacyjna, obejmuje cztery wolumeny i nieatomowy pomiar"
E1-09c,conversion_duration,paperless-webserver,,,1.694846,5172,,seconds,"DOC-05; task XLSX przez Tika/Gotenberg"
E1-09c,conversion_wait,paperless-webserver,,,0.010634,5172,,seconds,"DOC-05; czas oczekiwania raportowany przez task API v10"
E1-09c,derivative_size,archive-pdf,,,49708,5172,9.610982,bytes,"DOC-05; jednostronicowy archive PDF A4"
E1-09c,derivative_size,thumbnail-webp,,,12340,5172,2.385924,bytes,"DOC-05; miniatura WebP 500x707"
E1-09c,derivative_size,total-archive-and-thumbnail,,,62048,5172,11.996906,bytes,"DOC-05; suma archive PDF i miniatury, bez oryginału i narzutu baz"
E1-09d,ocr_duration,paperless-webserver,,,3.995292,837164,,seconds,"DOC-06; cztery strony A4 200 dpi bez warstwy tekstowej; próba wstępna, materiał rastrowy nie jest skanem papieru"
E1-09d,ocr_wait,paperless-webserver,,,0.053229,837164,,seconds,"DOC-06; czas oczekiwania raportowany przez task API v10"
E1-09d,cpu_peak,paperless-webserver,,,389.24,837164,,percent,"DOC-06; maksimum z 40 próbek docker stats co ok. 1 s; host ma 4 vCPU, OCR używa wielu rdzeni"
E1-09d,ram_idle,paperless-webserver,,,894.30,837164,,MiB,"DOC-06; bezpośrednio przed uploadem"
E1-09d,ram_peak,paperless-webserver,,,1099.78,837164,,MiB,"DOC-06; maksimum z 40 próbek, przyrost względem idle 205.48 MiB"
E1-09d,persistent_storage,paperless-postgres,71989465,72038617,49152,837164,0.058713,bytes,"DOC-06; pomiar du -sb przed i po tasku"
E1-09d,persistent_storage,paperless-data,241502,262852,21350,837164,0.025503,bytes,"DOC-06; pomiar du -sb przed i po tasku"
E1-09d,persistent_storage,paperless-media,4862393,6412486,1550093,837164,1.851600,bytes,"DOC-06; oryginał, archive PDF i miniatura"
E1-09d,persistent_storage,paperless-valkey,7292,7292,0,837164,0.000000,bytes,"DOC-06; brak widocznej zmiany po ukończeniu tasku"
E1-09d,persistent_storage,total_measured_volumes,77100652,78721247,1620595,837164,1.935815,bytes,"DOC-06; wartość orientacyjna, obejmuje cztery wolumeny i nieatomowy pomiar"
E1-09d,derivative_size,archive-pdf,,,693601,837164,0.828513,bytes,"DOC-06; czterostronicowy archive PDF A4 z warstwą tekstową OCR"
E1-09d,derivative_size,thumbnail-webp,,,19328,837164,0.023087,bytes,"DOC-06; miniatura WebP 500x707"
E1-09d,derivative_size,total-archive-and-thumbnail,,,712929,837164,0.851600,bytes,"DOC-06; suma archive PDF i miniatury, bez oryginału i narzutu baz"
E1-11b,task_duration,paperless-webserver,,,0.225974,13354,,seconds,"DOC-08; uszkodzony PDF, task zakończony statusem failure"
